Insertion sort
100000 1  2.49319008E9
100000 2  2.501093715E9
100000 3  2.490914745E9
100000 4  2.501511369E9
100000 5  2.494201198E9
100000 6  2.497160635E9
100000 7  2.491441132E9
100000 8  2.498907481E9
100000 9  2.504252018E9
100000 10  2.506278186E9
100000 11  2.505596956E9
100000 12  2.501027136E9
100000 13  2.495686475E9
100000 14  2.495411074E9
100000 15  2.498716368E9
100000 16  2.498763349E9
100000 17  2.507571796E9
100000 18  2.504664092E9
100000 19  2.493161508E9
100000 20  2.50404248E9
100000 21  2.502297728E9
100000 22  2.502318179E9
100000 23  2.492163178E9
100000 24  2.49976412E9
100000 25  2.500078486E9
100000 26  2.497251947E9
100000 27  2.496633426E9
100000 28  2.517393675E9
100000 29  2.504666008E9
100000 30  2.498210759E9
7.4994369299E10

10000 1  2.5399382E7
10000 2  2.5081482E7
10000 3  2.5151514E7
10000 4  2.4971536E7
10000 5  2.49118E7
10000 6  2.4941116E7
10000 7  2.5332761E7
10000 8  2.5151235E7
10000 9  2.495364E7
10000 10  2.5172228E7
10000 11  2.482861E7
10000 12  2.5126363E7
10000 13  2.5054421E7
10000 14  2.4664097E7
10000 15  2.5152864E7
10000 16  2.4767043E7
10000 17  2.5203234E7
10000 18  2.5281251E7
10000 19  2.5091453E7
10000 20  2.5124029E7
10000 21  2.4910761E7
10000 22  2.5145327E7
10000 23  2.5195609E7
10000 24  2.4899553E7
10000 25  2.4940603E7
10000 26  2.49054E7
10000 27  2.5003401E7
10000 28  2.5090122E7
10000 29  2.5247796E7
10000 30  2.5304282E7
7.52002913E8

1000 1  255979.0
1000 2  240439.0
1000 3  260143.0
1000 4  247620.0
1000 5  241801.0
1000 6  250151.0
1000 7  251745.0
1000 8  254131.0
1000 9  246660.0
1000 10  256062.0
1000 11  247825.0
1000 12  256383.0
1000 13  256019.0
1000 14  253187.0
1000 15  255892.0
1000 16  247304.0
1000 17  250734.0
1000 18  247925.0
1000 19  251986.0
1000 20  246506.0
1000 21  244413.0
1000 22  253246.0
1000 23  241893.0
1000 24  248677.0
1000 25  255512.0
1000 26  251253.0
1000 27  243838.0
1000 28  252833.0
1000 29  246247.0
1000 30  245879.0
7502283.0

100 1  2585.0
100 2  2263.0
100 3  2688.0
100 4  2854.0
100 5  2574.0
100 6  2820.0
100 7  2584.0
100 8  2360.0
100 9  2417.0
100 10  2525.0
100 11  2570.0
100 12  2269.0
100 13  2642.0
100 14  2603.0
100 15  2472.0
100 16  2935.0
100 17  2698.0
100 18  2480.0
100 19  2755.0
100 20  2578.0
100 21  2817.0
100 22  2327.0
100 23  2708.0
100 24  2605.0
100 25  2490.0
100 26  2260.0
100 27  2561.0
100 28  2491.0
100 29  2577.0
100 30  2404.0
76912.0




Quick sort
1 100000 2167387
2 100000 2146541
3 100000 2011637
4 100000 2073455
5 100000 2215326
6 100000 2196140
7 100000 2102245
8 100000 2079932
9 100000 2073718
10 100000 2144903
11 100000 2061471
12 100000 2099445
13 100000 2208557
14 100000 2167100
15 100000 2177655
16 100000 2182883
17 100000 2119441
18 100000 2136150
19 100000 2210708
20 100000 2081754
21 100000 2215471
22 100000 2096780
23 100000 2115246
24 100000 2193066
25 100000 2163609
26 100000 2078089
27 100000 2099559
28 100000 2128816
29 100000 2252020
30 100000 2155584
64154688

1 10000 178505
2 10000 175488
3 10000 179798
4 10000 169183
5 10000 167140
6 10000 170587
7 10000 164307
8 10000 171460
9 10000 165683
10 10000 171764
11 10000 170395
12 10000 176135
13 10000 161941
14 10000 168368
15 10000 178830
16 10000 168833
17 10000 162302
18 10000 164122
19 10000 165514
20 10000 166724
21 10000 172469
22 10000 162224
23 10000 176278
24 10000 167017
25 10000 161349
26 10000 169106
27 10000 167437
28 10000 175711
29 10000 167629
30 10000 177829
5094128

1 1000 11333
2 1000 12228
3 1000 12090
4 1000 12156
5 1000 11800
6 1000 12581
7 1000 12150
8 1000 12323
9 1000 11641
10 1000 11900
11 1000 12266
12 1000 12212
13 1000 12556
14 1000 12406
15 1000 12848
16 1000 11964
17 1000 12105
18 1000 12403
19 1000 12183
20 1000 11492
21 1000 12886
22 1000 12687
23 1000 11806
24 1000 12040
25 1000 12680
26 1000 12161
27 1000 12186
28 1000 12319
29 1000 12139
30 1000 11602
365143

1 100 725
2 100 705
3 100 848
4 100 841
5 100 732
6 100 782
7 100 793
8 100 723
9 100 840
10 100 918
11 100 724
12 100 723
13 100 761
14 100 735
15 100 721
16 100 812
17 100 724
18 100 711
19 100 794
20 100 771
21 100 774
22 100 749
23 100 789
24 100 793
25 100 765
26 100 732
27 100 861
28 100 829
29 100 774
30 100 708
23157

1 10 38
2 10 31
3 10 40
4 10 34
5 10 40
6 10 33
7 10 37
8 10 40
9 10 37
10 10 38
11 10 34
12 10 42
13 10 35
14 10 32
15 10 41
16 10 34
17 10 52
18 10 36
19 10 45
20 10 34
21 10 42
22 10 37
23 10 34
24 10 36
25 10 41
26 10 38
